Fecha,Entrantes
4/1/2021,32732
4/2/2021,20605
4/3/2021,42052
4/4/2021,25494
4/5/2021,77866
4/6/2021,75033
4/7/2021,78159
4/8/2021,72748
4/9/2021,74588
4/10/2021,54957
4/11/2021,28525
4/12/2021,83370
4/13/2021,77762
4/14/2021,78202
4/15/2021,74394
4/16/2021,66820
4/17/2021,50116
4/18/2021,26276
4/19/2021,78591
4/20/2021,72561
4/21/2021,75024
4/22/2021,74097
4/23/2021,71687
4/24/2021,50263
4/25/2021,27383
4/26/2021,78885
4/27/2021,68798
4/28/2021,73123
4/29/2021,73294
4/30/2021,70453
5/1/2021,41998
5/2/2021,23309
5/3/2021,74771
5/4/2021,71833
5/5/2021,69734
5/6/2021,69535
5/7/2021,68490
5/8/2021,47217
5/9/2021,22811
5/10/2021,78689
5/11/2021,74299
5/12/2021,73871
5/13/2021,70524
5/14/2021,66509
5/15/2021,44950
5/16/2021,22948
5/17/2021,30206
5/18/2021,74231
5/19/2021,76596
5/20/2021,74066
5/21/2021,69774
5/22/2021,49570
5/23/2021,22974
5/24/2021,75683
5/25/2021,76571
5/26/2021,73251
5/27/2021,73235
5/28/2021,65264
5/29/2021,46904
5/30/2021,22687
5/31/2021,78450
6/1/2021,76949
6/2/2021,72827
6/3/2021,71468
6/4/2021,65580
6/5/2021,44159
6/6/2021,23424
6/7/2021,30610
6/8/2021,77411
6/9/2021,73329
6/10/2021,69298
6/11/2021,69453
6/12/2021,46807
6/13/2021,22381
6/14/2021,28107
6/15/2021,78084
6/16/2021,75825
6/17/2021,75481
6/18/2021,72893
6/19/2021,47268
6/20/2021,21637
6/21/2021,74729
6/22/2021,75496
6/23/2021,75013
6/24/2021,73150
6/25/2021,73577
6/26/2021,49674
6/27/2021,24580
6/28/2021,72182
6/29/2021,70223
6/30/2021,71289
7/1/2021,68568
7/2/2021,69631
7/3/2021,44174
7/4/2021,21434
7/5/2021,28058
7/6/2021,69693
7/7/2021,67118
7/8/2021,66257
7/9/2021,65590
7/10/2021,43721
7/11/2021,23573
7/12/2021,77038
7/13/2021,70506
7/14/2021,68688
7/15/2021,65484
7/16/2021,63386
7/17/2021,45771
7/18/2021,23355
7/19/2021,71471
7/20/2021,34157
7/21/2021,43828
7/22/2021,69873
7/23/2021,69614
7/24/2021,45517
7/25/2021,23660
7/26/2021,73082
7/27/2021,69214
7/28/2021,64380
7/29/2021,65101
7/30/2021,61705
7/31/2021,42704
8/1/2021,22218
8/2/2021,69634
8/3/2021,69264
8/4/2021,71259
8/5/2021,62141
8/6/2021,55771
8/7/2021,35100
8/8/2021,20968
8/9/2021,67828
8/10/2021,65678
8/11/2021,59543
8/12/2021,57040
8/13/2021,51647
8/14/2021,36811
8/15/2021,18407
8/16/2021,23991
8/17/2021,61911
8/18/2021,59873
8/19/2021,54566
8/20/2021,55017
8/21/2021,38846
8/22/2021,19691
8/23/2021,65112
8/24/2021,63101
8/25/2021,61160
8/26/2021,59818
8/27/2021,52684
8/28/2021,18042
8/29/2021,20463
8/30/2021,63864
8/31/2021,63092
9/1/2021,58441
9/2/2021,53067
9/3/2021,52716
9/4/2021,35878
9/5/2021,18776
9/6/2021,56121
9/7/2021,55019
9/8/2021,59455
9/9/2021,56471
9/10/2021,52274
9/11/2021,36094
9/12/2021,18862
9/13/2021,58843
9/14/2021,53634
9/15/2021,58106
9/16/2021,59315
9/17/2021,51607
9/18/2021,34823
9/19/2021,18575
9/20/2021,63009
9/21/2021,56193
9/22/2021,55102
9/23/2021,57551
9/24/2021,56344
9/25/2021,38839
9/26/2021,20987
9/27/2021,63147
9/28/2021,58401
9/29/2021,56513
9/30/2021,58036
