Fecha,Entrantes
2021-09-01,58441
2021-09-02,53067
2021-09-03,52716
2021-09-04,35878
2021-09-05,18776
2021-09-06,56121
2021-09-07,55019
2021-09-08,59455
2021-09-09,56471
2021-09-10,52274
2021-09-11,36094
2021-09-12,18862
2021-09-13,58843
2021-09-14,53634
2021-09-15,58106
2021-09-16,59315
2021-09-17,51607
2021-09-18,34823
2021-09-19,18575
2021-09-20,63009
2021-09-21,56193
2021-09-22,55102
2021-09-23,57551
2021-09-24,56344
2021-09-25,38839
2021-09-26,20987
2021-09-27,63147
2021-09-28,58401
2021-09-29,56513
2021-09-30,58036
